p_id,title,rate,tags,address,url
112,카페머물다,4.2,카페,울산 북구 동대로 17 (우)44227,https://place.map.kakao.com/1164145369
113,카페로로,4.0,카페,울산 중구 종가29길 6 1층 (우)44548,https://place.map.kakao.com/394591318
114,개성쌈밥,4.3,쌈밥,울산 울주군 삼남읍 동향교3길 13 1층 (우)44950,https://place.map.kakao.com/10129210
115,야무야무,4.1,퓨전일식,울산 남구 대암로90번길 3 (우)44736,https://place.map.kakao.com/11025926
116,삼태육경회타운,2.7,회,울산 남구 남중로 104 (우)44711,https://place.map.kakao.com/19047299
117,신천쭈꾸미,3.2,"해물,생선",울산 북구 매곡로 152 (우)44215,https://place.map.kakao.com/20348994
118,중국성,4.8,중국요리,울산 남구 법대로95번길 11 (우)44645,https://place.map.kakao.com/9428758
119,원플레이트,3.7,양식,울산 남구 거마로 55 (우)44649,https://place.map.kakao.com/22000025
120,다향오리농원,4.8,오리,울산 북구 명촌20길 8 (우)44254,https://place.map.kakao.com/642485299
121,더황금마늘보쌈,4.4,"족발,보쌈",울산 남구 삼산중로84번길 5-13 1층 (우)44705,https://place.map.kakao.com/27075273
122,염서방숯불갈비,2.2,갈비,울산 남구 수암로90번길 18 (우)44748,https://place.map.kakao.com/27307887
123,스타벅스 울산MBC DT점,5.0,스타벅스,울산 중구 번영로 434 (우)44511,https://place.map.kakao.com/664205340
124,메이즈메이즈,4.7,카페,울산 남구 돋질로302번길 11 1층 (우)44705,https://place.map.kakao.com/546422242
125,참솔한우숯불센타,3.5,"육류,고기",울산 울주군 두동면 두동로 1835 (우)44914,https://place.map.kakao.com/16522237
126,배내로1032카페,2.7,카페,울산 울주군 상북면 배내로 1032 G동 (우)44909,https://place.map.kakao.com/334265376
127,바닷집,5.0,회,울산 남구 달삼로72번길 12 1층 (우)44720,https://place.map.kakao.com/442019143
128,간절곶관광회센터,4.0,회,울산 울주군 서생면 간절곶해안길 246 (우)45015,https://place.map.kakao.com/12406770
129,터미날식당,3.5,한식,울산 남구 봉월로 164 (우)44669,https://place.map.kakao.com/21324219
130,갈매기7번가 삼산점,5.0,"육류,고기",울산 남구 삼산로331번길 16-1 1층 (우)44713,https://place.map.kakao.com/27415134
131,촌놈밥집,4.3,한식,울산 남구 정동로80번길 8 (우)44712,https://place.map.kakao.com/27599315
132,스타벅스 울산남구청DT점,4.3,스타벅스,울산 남구 번영로 215 (우)44687,https://place.map.kakao.com/27337245
133,소소원,4.7,전통찻집,울산 중구 태화강국가정원길 45 (우)44439,https://place.map.kakao.com/13574148
134,울산조개창고 북구점,4.7,조개,울산 북구 신답로 40 지팝프라자 3층 301호 (우)44209,https://place.map.kakao.com/1860374495
135,파센토,3.6,일식집,울산 중구 신기2길 31 1층 (우)44457,https://place.map.kakao.com/755841004
136,원당방갈로,18.0,오리,울산 북구 관문길 30 (우)44200,https://place.map.kakao.com/26877578
137,스타벅스 울산신복점,3.3,스타벅스,울산 남구 대학로 152 (우)44611,https://place.map.kakao.com/24165910
138,맥도날드 울산삼산DT점,4.1,맥도날드,울산 남구 화합로 201 (우)44705,https://place.map.kakao.com/21534400
139,해돋이가든,4.2,한식,울산 울주군 상북면 등억알프스로 358 (우)44952,https://place.map.kakao.com/12257879
140,정희옥스시 울산성남점,2.8,"초밥,롤",울산 중구 학성로 85-1 1층 (우)44529,https://place.map.kakao.com/897045410
141,홍장어 본점,4.3,장어,울산 북구 명촌8길 11-4 (우)44254,https://place.map.kakao.com/19633565
142,안압루,5.0,갈비,울산 남구 월평로 171 (우)44686,https://place.map.kakao.com/8429899
143,더라이트하우스,4.2,피자,울산 남구 삼산중로114번길 20 (우)44705,https://place.map.kakao.com/2078975161
144,둘둘오리 삼산점,3.8,오리,울산 남구 달삼로75번길 5 1층 (우)44719,https://place.map.kakao.com/13718991
145,무거한우마을,1.5,"육류,고기",울산 남구 대학로1번길 1 (우)44619,https://place.map.kakao.com/24167538
146,어랑어랑,3.8,일본식주점,울산 남구 달삼로75번길 14 1층 (우)44719,https://place.map.kakao.com/382152474
147,단잔,4.0,"호프,요리주점",울산 남구 왕생로46번길 10 1층 (우)44718,https://place.map.kakao.com/470915468
