,p_id,0,1,2,3,4,5,6,7,8,9
0,107,1,0,0,0,1,0,1,6,0,1
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,1,0,1
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,1,0,0,0,3,0,1
0,107,1,1,1,0,0,0,1,3,0,0
0,107,0,1,1,0,0,0,0,2,0,2
0,107,0,0,0,1,0,0,0,3,0,0
0,107,1,0,1,0,1,0,2,9,0,2
0,107,0,0,0,0,0,0,1,2,0,0
0,107,0,0,1,1,0,0,1,0,0,3
0,107,0,0,0,0,0,0,0,2,0,0
0,107,0,0,0,0,1,0,0,2,0,1
0,107,1,0,1,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,3,1,1
0,107,1,0,0,0,0,0,1,2,0,1
0,107,3,0,0,0,0,0,1,2,0,1
0,107,0,0,1,0,0,0,2,1,0,0
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,1,0,0,0,0
0,107,0,0,0,0,0,0,0,3,0,1
0,107,0,1,1,0,0,0,0,3,0,0
0,107,0,0,1,0,0,0,1,5,0,0
0,107,1,0,0,0,1,0,1,3,0,0
0,107,0,0,0,0,0,0,0,1,1,0
0,107,1,1,0,0,0,0,0,6,0,3
0,107,1,1,0,0,0,0,0,2,0,0
0,107,0,0,0,0,0,0,0,3,0,0
0,107,0,0,1,0,0,0,0,3,0,0
0,107,0,0,0,0,0,0,1,3,0,0
0,107,0,0,2,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,0,1,0,0
0,107,1,0,0,0,0,0,1,3,0,1
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,2,0,1
0,107,0,1,0,0,1,0,0,0,0,1
0,107,0,0,0,0,0,0,2,1,0,0
0,107,0,0,0,0,0,0,0,2,0,0
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,0,0,0
0,107,1,0,0,0,0,0,1,0,0,1
0,107,1,0,0,0,1,0,0,3,0,0
