title,rate,tags,address,url
정안정 성안6호점,5.0,갈비,울산 중구 함월14길 13 (우)44422,https://place.map.kakao.com/930652672
퐁당퐁당 옥동직영점,4.8,샤브샤브,울산 남구 문수로366번길 13 (우)44662,https://place.map.kakao.com/2073330278
원정식육식당,4.0,"육류,고기",울산 남구 문수로369번길 44 (우)44648,https://place.map.kakao.com/12093816
북경,3.0,중국요리,울산 남구 화합로 116 (우)44717,https://place.map.kakao.com/8404134
선농설렁탕,4.8,설렁탕,울산 남구 왕생로 78 (우)44703,https://place.map.kakao.com/8371058
티앤북스 울산삼산점,4.7,만화카페,울산 남구 삼산중로74번길 28 6층 (우)44705,https://place.map.kakao.com/642862245
원조울산잠수함 본점,3.8,"해물,생선",울산 중구 종가2길 10 (우)44539,https://place.map.kakao.com/746813674
6고깃집,4.6,"육류,고기",울산 남구 신정로18번길 5 1층 (우)44725,https://place.map.kakao.com/27537216
카페리뉴,4.4,카페,울산 남구 돋질로306번길 25 (우)44705,https://place.map.kakao.com/27269680
스시로 울산삼산점,2.9,"초밥,롤",울산 남구 화합로 185 업스퀘어 5층 (우)44705,https://place.map.kakao.com/19697770
사량도자연산횟집 2호점,3.3,회,울산 남구 돋질로422번길 10 (우)44712,https://place.map.kakao.com/492728369
장터돼지국밥,4.9,국밥,울산 동구 등대5길 39-1 (우)44059,https://place.map.kakao.com/10725075
OK목장,3.3,"육류,고기",울산 울주군 삼남읍 방기로 1 (우)44955,https://place.map.kakao.com/10921650
서강,3.9,중국요리,울산 중구 종가17길 4 (우)44546,https://place.map.kakao.com/393469731
아비아채,3.3,카페,울산 중구 태화강국가정원길 231-4 (우)44456,https://place.map.kakao.com/901488028
예나스케이크,4.0,"제과,베이커리",울산 남구 돋질로257번길 3 1층 (우)44700,https://place.map.kakao.com/280778482
스타벅스 울산중리사거리DT점,2.2,스타벅스,울산 남구 돋질로 310 (우)44705,https://place.map.kakao.com/27337247
시로스시,3.9,"초밥,롤",울산 중구 시계탑거리 32 2층 (우)44532,https://place.map.kakao.com/24371740
능이와백숙 명촌점,5.0,닭요리,울산 북구 명촌11길 30 1층 (우)44254,https://place.map.kakao.com/1418355440
언양옛날곰탕,2.6,곰탕,울산 울주군 언양읍 장터2길 11-5 (우)44946,https://place.map.kakao.com/9248879
헌터스,4.8,카페,울산 남구 동산로89번길 4 공간베스트힐 1층 105호 (우)44656,https://place.map.kakao.com/597232646
로망스아구찜,3.7,한식,울산 울주군 삼동면 대암둔기로 193 1층 (우)44958,https://place.map.kakao.com/1817592562
갯바위횟집,5.0,회,울산 북구 우가1길 14 (우)44235,https://place.map.kakao.com/15433255
평화김해뒷고기 울산삼산점,4.8,"육류,고기",울산 남구 왕생로 28 1층 (우)44718,https://place.map.kakao.com/235467519
산주막 삼산점,5.0,"호프,요리주점",울산 남구 남중로80번길 26 1층 (우)44712,https://place.map.kakao.com/712292213
도드람마을,3.5,"육류,고기",울산 북구 진장로 85 (우)44250,https://place.map.kakao.com/26345203
배내통하우스,5.0,한식,울산 울주군 상북면 배내로 1447 (우)44909,https://place.map.kakao.com/10393475
송가정횟집,3.6,회,울산 남구 대학로 3-1 (우)44616,https://place.map.kakao.com/27140411
스타벅스 울산삼산로점,1.7,스타벅스,울산 남구 삼산로278번길 8 (우)44719,https://place.map.kakao.com/26506097
상무초밥 울산삼산점,4.0,"초밥,롤",울산 남구 삼산로 270 101호 (우)44719,https://place.map.kakao.com/30184440
