,Unnamed: 0,p_name,p_address,p_rating,p_category,p_tag,p_review,p_url
997,997,브랑누아펜션,울산 울주군 서생면 당물길 26-4,0.0,펜션,태그 없음,./kakao_reviews/울산 숙소/브랑누아펜션.csv,https://place.map.kakao.com/838887361
1001,1001,하늘땅별땅펜션,울산 울주군 상북면 배내로 1067,5.0,펜션,"['#가족펜션', '#독채펜션', '#바베큐장', '#오션뷰', '#온돌룸', '#제로페이']",./kakao_reviews/울산 숙소/하늘땅별땅펜션.csv,https://place.map.kakao.com/17521527
1006,1006,진하파도소리펜션,울산 울주군 서생면 진하해변길 72,3.0,펜션,태그 없음,./kakao_reviews/울산 숙소/진하파도소리펜션.csv,https://place.map.kakao.com/108180468
1007,1007,해오름펜션,울산 북구 아름2길 2,0.0,펜션,"['#당구대', '#제로페이']",./kakao_reviews/울산 숙소/해오름펜션.csv,https://place.map.kakao.com/13082783
1009,1009,K2펜션,울산 북구 동해안로 810,1.0,펜션,태그 없음,./kakao_reviews/울산 숙소/K2펜션.csv,https://place.map.kakao.com/26494599
1010,1010,그랜드펜션,울산 북구 정자1길 85,0.0,펜션,['#오션뷰'],./kakao_reviews/울산 숙소/그랜드펜션.csv,https://place.map.kakao.com/26869478
1011,1011,철구소아이온펜션,울산 울주군 상북면 배내로 1203,0.0,펜션,"['#무인모텔', '#제로페이']",./kakao_reviews/울산 숙소/철구소아이온펜션.csv,https://place.map.kakao.com/781170650
1012,1012,락펜션,울산 북구 화암길 45,0.0,펜션,"['#가족펜션', '#오션뷰']",./kakao_reviews/울산 숙소/락펜션.csv,https://place.map.kakao.com/21885256
1013,1013,이치방하우스,울산 울주군 상북면 배내로 1197,5.0,펜션,태그 없음,./kakao_reviews/울산 숙소/이치방하우스.csv,https://place.map.kakao.com/1056684755
1015,1015,꿈을주는펜션,울산 북구 아름1길 17,5.0,펜션,태그 없음,./kakao_reviews/울산 숙소/꿈을주는펜션.csv,https://place.map.kakao.com/27119658
1017,1017,이리제펜션,울산 북구 동해안로 772,0.0,펜션,태그 없음,./kakao_reviews/울산 숙소/이리제펜션.csv,https://place.map.kakao.com/837651197
1020,1020,나사타운,울산 울주군 서생면 해맞이로 1097-15,3.7,펜션,['#제로페이'],./kakao_reviews/울산 숙소/나사타운.csv,https://place.map.kakao.com/25626252
1021,1021,달팽이펜션,울산 울주군 상북면 배내로 1064,0.0,펜션,태그 없음,./kakao_reviews/울산 숙소/달팽이펜션.csv,https://place.map.kakao.com/20620629
1022,1022,이음펜션,울산 북구 동해안로 928,5.0,펜션,"['#2인실', '#대형룸', '#세미나실', '#야외테라스', '#어메니티제공', '#온돌룸', '#조식서비스', '#커플룸']",./kakao_reviews/울산 숙소/이음펜션.csv,https://place.map.kakao.com/280551519
